Name: JMH
Date: 8-4-21
Ansatz: VLS
Machine: ibmq_mumbai
Qubits to use: 0 1 4 7 10 
Qubits: 5
Layers: 5
Noise Setting: 7
Number of Runs: 12
Problem Index: 0
Shots: 8192
{00000: 681, 00001: 572, 10000: 158, 10001: 116, 10010: 94, 10011: 62, 10100: 173, 10101: 91, 10110: 92, 10111: 42, 11000: 63, 11001: 54, 11010: 46, 11011: 63, 11100: 37, 11101: 50, 11110: 28, 11111: 32, 00010: 686, 00011: 464, 00100: 1023, 00101: 765, 00110: 461, 00111: 174, 01000: 270, 01001: 254, 01010: 304, 01011: 210, 01100: 471, 01101: 399, 01110: 190, 01111: 67}
{00000: 726, 00001: 616, 10000: 129, 10001: 121, 10010: 91, 10011: 60, 10100: 146, 10101: 84, 10110: 82, 10111: 29, 11000: 51, 11001: 45, 11010: 39, 11011: 56, 11100: 45, 11101: 50, 11110: 34, 11111: 40, 00010: 671, 00011: 448, 00100: 962, 00101: 717, 00110: 458, 00111: 144, 01000: 319, 01001: 285, 01010: 296, 01011: 234, 01100: 547, 01101: 396, 01110: 190, 01111: 81}
{00000: 783, 00001: 738, 10000: 90, 10001: 94, 10010: 90, 10011: 78, 10100: 159, 10101: 110, 10110: 43, 10111: 38, 11000: 49, 11001: 48, 11010: 40, 11011: 42, 11100: 53, 11101: 49, 11110: 29, 11111: 30, 00010: 621, 00011: 435, 00100: 1032, 00101: 701, 00110: 387, 00111: 145, 01000: 329, 01001: 268, 01010: 334, 01011: 282, 01100: 498, 01101: 340, 01110: 177, 01111: 80}
{00000: 743, 00001: 634, 10000: 85, 10001: 63, 10010: 83, 10011: 81, 10100: 134, 10101: 95, 10110: 57, 10111: 32, 11000: 74, 11001: 59, 11010: 51, 11011: 46, 11100: 73, 11101: 58, 11110: 35, 11111: 27, 00010: 732, 00011: 516, 00100: 970, 00101: 726, 00110: 506, 00111: 186, 01000: 250, 01001: 243, 01010: 282, 01011: 218, 01100: 486, 01101: 352, 01110: 213, 01111: 82}
{00000: 779, 00001: 615, 10000: 76, 10001: 68, 10010: 67, 10011: 55, 10100: 172, 10101: 118, 10110: 67, 10111: 35, 11000: 96, 11001: 59, 11010: 64, 11011: 53, 11100: 79, 11101: 50, 11110: 51, 11111: 39, 00010: 696, 00011: 430, 00100: 1012, 00101: 774, 00110: 470, 00111: 124, 01000: 250, 01001: 245, 01010: 307, 01011: 213, 01100: 480, 01101: 364, 01110: 211, 01111: 73}
{00000: 724, 00001: 556, 10000: 134, 10001: 104, 10010: 92, 10011: 86, 10100: 164, 10101: 109, 10110: 65, 10111: 33, 11000: 44, 11001: 50, 11010: 51, 11011: 69, 11100: 67, 11101: 64, 11110: 43, 11111: 29, 00010: 694, 00011: 523, 00100: 989, 00101: 737, 00110: 421, 00111: 130, 01000: 279, 01001: 232, 01010: 342, 01011: 269, 01100: 481, 01101: 328, 01110: 201, 01111: 82}
{00000: 834, 00001: 692, 10000: 118, 10001: 102, 10010: 90, 10011: 73, 10100: 135, 10101: 102, 10110: 61, 10111: 34, 11000: 56, 11001: 24, 11010: 41, 11011: 52, 11100: 71, 11101: 62, 11110: 35, 11111: 26, 00010: 714, 00011: 436, 00100: 922, 00101: 740, 00110: 447, 00111: 147, 01000: 313, 01001: 267, 01010: 318, 01011: 226, 01100: 460, 01101: 322, 01110: 193, 01111: 79}
{00000: 807, 00001: 688, 10000: 50, 10001: 41, 10010: 44, 10011: 44, 10100: 108, 10101: 75, 10110: 37, 10111: 32, 11000: 88, 11001: 60, 11010: 65, 11011: 57, 11100: 45, 11101: 57, 11110: 30, 11111: 23, 00010: 731, 00011: 483, 00100: 1149, 00101: 810, 00110: 489, 00111: 167, 01000: 243, 01001: 229, 01010: 314, 01011: 240, 01100: 469, 01101: 291, 01110: 158, 01111: 68}
{00000: 844, 00001: 771, 10000: 106, 10001: 108, 10010: 47, 10011: 42, 10100: 117, 10101: 67, 10110: 69, 10111: 39, 11000: 39, 11001: 28, 11010: 36, 11011: 57, 11100: 26, 11101: 26, 11110: 17, 11111: 19, 00010: 836, 00011: 544, 00100: 922, 00101: 789, 00110: 455, 00111: 141, 01000: 282, 01001: 284, 01010: 324, 01011: 242, 01100: 420, 01101: 278, 01110: 159, 01111: 58}
{00000: 738, 00001: 637, 10000: 104, 10001: 90, 10010: 69, 10011: 55, 10100: 128, 10101: 100, 10110: 54, 10111: 34, 11000: 33, 11001: 30, 11010: 36, 11011: 42, 11100: 29, 11101: 25, 11110: 27, 11111: 26, 00010: 772, 00011: 538, 00100: 1045, 00101: 817, 00110: 473, 00111: 136, 01000: 299, 01001: 279, 01010: 315, 01011: 292, 01100: 422, 01101: 365, 01110: 135, 01111: 47}
{00000: 753, 00001: 681, 10000: 107, 10001: 85, 10010: 82, 10011: 37, 10100: 124, 10101: 90, 10110: 51, 10111: 30, 11000: 30, 11001: 30, 11010: 36, 11011: 29, 11100: 27, 11101: 63, 11110: 17, 11111: 23, 00010: 729, 00011: 455, 00100: 1105, 00101: 914, 00110: 419, 00111: 130, 01000: 292, 01001: 267, 01010: 316, 01011: 231, 01100: 483, 01101: 366, 01110: 151, 01111: 39}
