Name: JMH
Date: 8-4-21
Ansatz: VLS
Machine: ibmq_mumbai
Qubits to use: 0 1 4 7 10 
Qubits: 5
Layers: 5
Noise Setting: 7
Number of Runs: 12
Problem Index: 0
Shots: 8192
{00000: 645, 00001: 667, 10000: 102, 10001: 111, 10010: 87, 10011: 51, 10100: 146, 10101: 111, 10110: 54, 10111: 27, 11000: 37, 11001: 29, 11010: 16, 11011: 28, 11100: 21, 11101: 15, 11110: 10, 11111: 13, 00010: 742, 00011: 480, 00100: 1116, 00101: 808, 00110: 457, 00111: 184, 01000: 274, 01001: 269, 01010: 329, 01011: 227, 01100: 503, 01101: 375, 01110: 175, 01111: 83}
{00000: 890, 00001: 808, 10000: 97, 10001: 87, 10010: 74, 10011: 45, 10100: 91, 10101: 63, 10110: 37, 10111: 15, 11000: 43, 11001: 23, 11010: 23, 11011: 37, 11100: 18, 11101: 31, 11110: 25, 11111: 29, 00010: 791, 00011: 488, 00100: 1094, 00101: 754, 00110: 354, 00111: 179, 01000: 295, 01001: 307, 01010: 391, 01011: 304, 01100: 369, 01101: 266, 01110: 95, 01111: 69}
{00000: 790, 00001: 754, 10000: 107, 10001: 88, 10010: 79, 10011: 36, 10100: 139, 10101: 109, 10110: 58, 10111: 22, 11000: 28, 11001: 29, 11010: 14, 11011: 28, 11100: 30, 11101: 19, 11110: 22, 11111: 20, 00010: 763, 00011: 509, 00100: 956, 00101: 787, 00110: 448, 00111: 144, 01000: 310, 01001: 290, 01010: 313, 01011: 244, 01100: 457, 01101: 345, 01110: 182, 01111: 72}
{00000: 738, 00001: 629, 10000: 99, 10001: 73, 10010: 56, 10011: 27, 10100: 121, 10101: 76, 10110: 55, 10111: 31, 11000: 38, 11001: 32, 11010: 27, 11011: 44, 11100: 26, 11101: 26, 11110: 21, 11111: 16, 00010: 767, 00011: 440, 00100: 1241, 00101: 807, 00110: 534, 00111: 161, 01000: 263, 01001: 229, 01010: 339, 01011: 220, 01100: 511, 01101: 298, 01110: 175, 01111: 72}
{00000: 759, 00001: 610, 10000: 49, 10001: 42, 10010: 40, 10011: 28, 10100: 82, 10101: 59, 10110: 34, 10111: 16, 11000: 57, 11001: 38, 11010: 49, 11011: 46, 11100: 40, 11101: 54, 11110: 25, 11111: 25, 00010: 858, 00011: 538, 00100: 1053, 00101: 754, 00110: 494, 00111: 181, 01000: 278, 01001: 261, 01010: 365, 01011: 285, 01100: 490, 01101: 305, 01110: 185, 01111: 92}
{00000: 717, 00001: 666, 10000: 98, 10001: 112, 10010: 63, 10011: 30, 10100: 129, 10101: 59, 10110: 50, 10111: 21, 11000: 44, 11001: 37, 11010: 20, 11011: 36, 11100: 23, 11101: 20, 11110: 11, 11111: 13, 00010: 676, 00011: 472, 00100: 1150, 00101: 804, 00110: 475, 00111: 154, 01000: 284, 01001: 302, 01010: 315, 01011: 213, 01100: 553, 01101: 401, 01110: 173, 01111: 71}
{00000: 873, 00001: 782, 10000: 82, 10001: 68, 10010: 68, 10011: 48, 10100: 123, 10101: 92, 10110: 36, 10111: 18, 11000: 30, 11001: 19, 11010: 23, 11011: 25, 11100: 32, 11101: 24, 11110: 10, 11111: 16, 00010: 701, 00011: 435, 00100: 1100, 00101: 871, 00110: 463, 00111: 120, 01000: 318, 01001: 292, 01010: 316, 01011: 280, 01100: 450, 01101: 294, 01110: 128, 01111: 55}
{00000: 843, 00001: 729, 10000: 71, 10001: 75, 10010: 60, 10011: 45, 10100: 98, 10101: 90, 10110: 40, 10111: 14, 11000: 40, 11001: 33, 11010: 20, 11011: 23, 11100: 34, 11101: 22, 11110: 14, 11111: 14, 00010: 709, 00011: 482, 00100: 1102, 00101: 879, 00110: 436, 00111: 164, 01000: 260, 01001: 315, 01010: 299, 01011: 279, 01100: 486, 01101: 297, 01110: 154, 01111: 65}
{00000: 846, 00001: 744, 10000: 61, 10001: 66, 10010: 49, 10011: 37, 10100: 112, 10101: 88, 10110: 44, 10111: 21, 11000: 33, 11001: 19, 11010: 32, 11011: 34, 11100: 25, 11101: 29, 11110: 18, 11111: 28, 00010: 717, 00011: 456, 00100: 1153, 00101: 823, 00110: 484, 00111: 119, 01000: 287, 01001: 273, 01010: 274, 01011: 241, 01100: 503, 01101: 356, 01110: 169, 01111: 51}
{00000: 999, 00001: 755, 10000: 93, 10001: 79, 10010: 65, 10011: 58, 10100: 96, 10101: 97, 10110: 34, 10111: 21, 11000: 39, 11001: 19, 11010: 22, 11011: 34, 11100: 36, 11101: 30, 11110: 22, 11111: 17, 00010: 727, 00011: 507, 00100: 942, 00101: 735, 00110: 430, 00111: 131, 01000: 316, 01001: 295, 01010: 316, 01011: 256, 01100: 469, 01101: 333, 01110: 153, 01111: 66}
{00000: 969, 00001: 888, 10000: 52, 10001: 50, 10010: 36, 10011: 41, 10100: 61, 10101: 37, 10110: 47, 10111: 31, 11000: 87, 11001: 60, 11010: 47, 11011: 36, 11100: 33, 11101: 35, 11110: 19, 11111: 34, 00010: 774, 00011: 417, 00100: 1055, 00101: 735, 00110: 435, 00111: 168, 01000: 361, 01001: 316, 01010: 333, 01011: 241, 01100: 348, 01101: 261, 01110: 131, 01111: 54}
{00000: 804, 00001: 668, 10000: 66, 10001: 59, 10010: 47, 10011: 38, 10100: 121, 10101: 57, 10110: 57, 10111: 48, 11000: 49, 11001: 19, 11010: 43, 11011: 44, 11100: 22, 11101: 27, 11110: 21, 11111: 43, 00010: 766, 00011: 506, 00100: 1027, 00101: 870, 00110: 466, 00111: 129, 01000: 260, 01001: 263, 01010: 357, 01011: 279, 01100: 454, 01101: 336, 01110: 182, 01111: 64}
